37564	三	七	五	六	四
4コマ漫画	四	齣	漫画
CM	commercial	message
尾状花序	尾状	花序
尾白砂狐	尾	白	砂	狐
尾部銃手	尾部	銃手
尾長梟	尾	長	梟
尾長猿	尾	長	猿
尾長鮫	尾	長	鮫
尾長鴨	尾	長	鴨
尾長鶏	尾	長	鶏
尾高型	尾高	型
尾黒目白鮫	尾	黒	目白鮫
尿袋	尿	袋
屁負比丘尼	屁	負い	比丘尼
居場所	居	場所
居留地	居留	地
居酒屋	居	酒	屋
屈曲位	屈曲	位
屋台店	屋台	店
層状含銅硫化鉄鉱鉱床	層状	含	銅	硫化	鉄鉱	鉱床
山井	山	井
山原	山	原
山原水鶏	山原	水鶏
山口	山	口
山口県	山口	県
山城	山	城
山姥	山	姥
山寺	山	寺
山小屋	山	小屋
山山葵	山	山葵
山崩れ	山	崩れ
山形県	山形	県
山括弧	山	括弧
山札	山	札
山梨	山	梨
山梨県	山梨	県
山水牛	山	水牛
山海の珍味	山海	の	珍味
山火事	山	火事
山犬	山	犬
山田	山	田
山縞馬	山	縞馬
山茶花	山茶	花
山葵大根	山葵	大根
山路	山	路
山高帽	山	高	帽
山高帽子	山	高	帽子
山鳩	山	鳩
山鼠	山	鼠
岐阜県	岐阜	県
岡山県	岡山	県
岡目八目	岡目	八目
岩ワラビー	岩	ワラビー
岩手県	岩手	県
峙つ	稜	立つ
島国	島	国
島外人	島外	人
島根県	島根	県
嵐	荒ら	風
巌	岩	秀
川下	川	下
川下り	川	下り
川中島	川中	島
川瀬	川	瀬
川獺	川	獺
川蜘蛛	川	蜘蛛
川蝉	川	蝉
左上	左	上
左下	左	下
左側通行	左側	通行
左利き	左	利き
左大臣	左	大臣
左手	左	手
左様	然	様
巨蟹宮	巨	蟹	宮
巫	神	和ぎ
己	土	の	弟
已己巳己	已	己	巳	己
巴	鞆	絵
巻物	巻く	物
巽	辰	巳
巾着	巾	着
市内電車	市内	電車
市民権	市民	権
市章	市	章
市電	市営	電車
布袋腹	布袋	腹
帆布	帆	布
帆木綿	帆	木綿
希有	希	有
帝国主義	帝国	主義
帝国大学	帝国	大学
帝国議会	帝国	議会
帝國議會	帝國	議會
帝王切開	帝王	切開
帰りの会	帰り	の	会
帰日	帰	日
帰羅	帰	羅
帰阪	帰	阪
帳台	帳	台
帷子	片	枚
常に	常	に
常套句	常套	句
常套手段	常套	手段
常温核融合	常温	核	融合
常用外漢字	常用	外
常用対数	常用	対数
常用手段	常用	手段
常用漢字	常用	漢字
常盤	常	岩
常磐	常	岩
幕僚長	幕僚	長
幣	御	手	座
干し柿	干し	柿
干満	干	満
平ちゃら	平	ちゃら
平ら	た	平
平仮名	平	仮名
平和条約	平和	条約
平和維持	平和	維持
平城	平	城
平安	平	安
平成の大合併	平成	大	合併
平板式	平板	式
平泳ぎ	平	泳ぎ
平田海亀	平たい	海亀
年を重ねる	年	を	重ねる
年上	年	上
年下	年	下
年代記	年代	記
年次有給休暇	年次	有給	休暇
年魚	年	魚
幸い	幸	這う
幸運の女神	幸運	の	女神
幼い	長	無い
幼児好き	幼児	好き
幼稚園	幼稚	園
幽霊の正体見たり枯れ尾花	幽霊	の	正体	見たり	枯れ尾花
幽霊文字	幽霊	文字
幾久	幾	久
幾何光学	幾何	光学
幾何画法	幾何	画法
幾何異性	幾何	異性
幾何異性体	幾何異性	体
幾許	幾	ば	く
広場恐怖症	広場	恐怖症
広島県	広島	県
広目天	広	目	天
床板	床	板
床虫	床	虫
床虱	床	虱
序詞	序	言葉
底冷え	底	冷え
底力	底	力
底抜け	底	抜け
庚	金	の	兄
度肝を抜く	度肝	を	抜く
座敷	座	敷
座敷牢	座敷	牢
座敷童	座敷	童
座頭	座	頭
庭球	庭	球
廃ビル	廃	ビル
廃工場	廃	工場
廃道	廃	道
延長	延	長
延長戦	延長	戦
建て網	建てる	網
建白書	建白	書
建築士	建築	士
建設現場	建設	現場
式神	式	神
弓は袋に太刀は鞘	弓	は	袋	に	太刀	は	鞘
弓弦	弓	弦
引きこもり	引き	籠もり
引き付ける	引き	付ける
引き出す	引き	出す
引き払う	引き	払う
引き眉	引く	眉
引き金を引く	引き金	を	引く
引け目を感じる	引け目	を	感じる
引っ込み思案	引っ込み	思案
弘法大師	弘法	大師
弟	弟	人
弟分	弟	分
弟鷹	弟	鷹
弥勒菩薩	弥勒	菩薩
弱みを握る	弱み	を	握る
弱者男性	弱者	男性
弱音を吐く	弱音	を	吐く
張り子	張り	子
強か	したた	か
強迫性障害	強迫性	障害
弾きこなす	弾き	こなす
弾き出す	弾き	出す
弾丸	弾	丸
弾丸列車	弾丸	列車
弾道ミサイル	弾道	ミサイル
当たって砕けろ	当たって	砕けろ
当てにする	当て	に	する
当てになる	当て	に	なる
当てもない	当て	も	ない
当用漢字	当用	漢字
当社	当	社
当行	当	行
当選確実	当選	確実
当駅	当	駅
形	形	ち
形代	形	代
形作る	形	作る
形勢逆転	形勢	逆転
形態素	形態	素
彦	日	子
影も形もない	影	も	形	も	ない
影武者	影	武者
影法師	影	法師
役満貫	役	満貫
役立たず	役	立たず
彼	彼	れ
彼処	彼	し	処
彼女	彼の	女
彼奴	彼	奴
彼方	彼	な	た
彼氏	彼	氏
征夷大将軍	征夷	大将軍
征東大将軍	征東	大将軍
征西大将軍	征西	大将軍
待ち伏せ	待ち	伏せ
律令	律	令
後	尻	方
後撰和歌集	後	撰	和歌	集
後置記法	後置	記法
後背位	後背	位
後進国	後進	国
後部銃手	後部	銃手
後頭	後	頭
得意気	得意	気
御中	御	中
御国	御	国
御報せ	御	報せ
御嶽	御	嶽
御役御免	御	役	御免
御意	御	意
御手洗	御	手	洗
御札	御	札
御殻	御	殻
御知らせ	御	知らせ
御社	御	社
御神木	御	神木
御神酒	御	神酒
御籠もり	御	籠もり
御降誕	御	降誕
御霊	御	魂
御飯	御	飯
御馳走	御	馳走
微分幾何	微分	幾何
微塵子	微塵	子
微睡む	目	とろむ
微笑む	頬	笑む
徳島県	徳島	県
心が弾む	心	が	弾む
心が晴れる	心	が	晴れる
心する	心	す
心に残る	心	に	残る
心に留める	心	に	留める
心を奪う	心	を	奪う
心を引く	心	を	引く
心を痛める	心	を	痛める
心を籠める	心	を	籠める
心を鬼にする	心	を	鬼	に	する
心悸亢進	心悸	亢進
心拍出量	心拍	出量
心拍計	心拍	計
心持ち	心	持ち
必殺技	必殺	技
必須アミノ酸	必須	アミノ酸
必須脂肪酸	必須	脂肪酸
忍びの者	忍び	の	者
忍刀	忍	刀
忍法	忍	法
忍者刀	忍者	刀
忍耐強い	忍耐	強い
忍術	忍	術
志す	心	指す
志望動機	志望	動機
忘れ形見	忘れ	形見
忠臣	忠	臣
快い	心	良い
快刀乱麻を断つ	快刀	乱麻	を	断つ
念頭に置く	念頭	に	置く
怒りを遷す	怒り	を	遷す
思いの外	思い	の	外
思想の自由	思想	の	自由
急性灰白髄炎	急性	灰白	髄	炎
急火	急	火
性ホルモン	性	ホルモン
性処理	性	処理
性同一性	性	同一性
性同一性障害	性同一性	障害
性役割	性	役割
性徴	性	徴
性感帯	性感	帯
性科学	性	科学
性衝動	性	衝動
性転換	性	転換
怪盗	怪	盗
恋愛事件	恋愛	事件
恋文	恋	文
恐竜	恐	竜
恥知らず	恥	知る
恨みを晴らす	恨み	を	晴らす
恩知らず	恩	知らず
息を引き取る	息	を	引き取る
息災	息	災
恵子	恵	子
恵方参り	恵方	参り
悪循環	悪	循環
悪戯書き	悪戯	書き
悪気	悪	気
悪目	悪	目
悪趣味	悪	趣味
悲鳴を上げる	悲鳴	を	上げる
情緒不安定	情緒	不安定
惑星	惑	星
想像を絶する	想像	を	絶する
意味論	意味	論
意気地	意気	地
意気投合	意気	投合
意識高い系	意識	高い	系
意趣返し	意趣	返し
愛	真	な
愛でたい	愛で	甚し
愛らしい	愛	らしい
愛唱歌	愛唱	歌
愛弟子	愛	弟子
愛玩動物	愛玩	動物
愛知県	愛知	県
愛社精神	愛社	精神
感じる	感	する
感ずる	感	する
感傷主義	感傷	主義
感嘆符	感嘆	符
感情移入	感情	移入
感激屋	感激	屋
慇懃丁重	慇懃	丁重
慇懃無礼	慇懃	無礼
慈悲深い	慈悲	深い
慌てふためく	慌てる	ふためく
慣れ親しむ	慣れ	親しむ
慣用音	慣用	音
慰安婦	慰安	婦
憂鬱症	憂鬱	症
憲兵	憲	兵
懐中時計	懐中	時計
懐剣	懐	剣
懐石料理	懐石	料理
懸念材料	懸念	材料
懸想文	懸想	文
戊	土	の	兄
成人式	成人	式
成文	成り	文
成桂	なり	桂
成銀	なり	銀
成長ホルモン	成長	ホルモン
成香	なり	香
我が国	我	が	国
戦争犯罪	戦争	犯罪
戦国	戦	国
戦闘服	戦闘	服
戯言	戯ける	言
所で	所	で
所得税	所得	税
所有権	所有	権
扁桃腺炎	扁桃腺	炎
扉	戸	片
手を休める	手	を	休める
手並み	手	並み
手信号	手	信号
手刀打ち	手刀	打ち
手前	手	前
手向かう	手	向かう
手帳	手	帳
手弱女振り	手弱女	振り
手当り次第	手当り	次第
手忠実	手	忠実
手抜き	手	抜き
手拭い	手	拭い
手斧	手	斧
手札	手	札
手榴弾	手	榴弾
手甲	手	甲
手甲鉤	手甲	鉤
手目	手	目
手紙	手	紙
手荷物	手	荷物
手袋	手	袋
手錠	手	錠
手鎖	手	錠
手鏡	手	鏡
手間賃	手間	賃
打ち切る	打ち	切る
打ち壊す	打ち	壊す
打ち所が悪い	打ち所	が	悪い
打ち払う	打ち	払う
打っ潰す	打つ	潰す
打開策	打開	策
承る	受ける	賜る
把手	取り	手
抒情詩	抒情	詩
投げ縄	投げ	縄
抗生物質	抗生	物質
折に触れて	折	に	触れて
折鶴	折る	鶴
披露宴	披露	宴
抱擁	抱	擁
押し切る	押し	切る
抽象代数学	抽象	代数学
抽象名詞	抽象	名詞
担当医	担当	医
拍子木	拍子	木
拒否る	拒否	る
拘る	こ	たわる
招き猫	招く	猫
招縄	招き	縄
拡張子	拡張	子
拾遺和歌集	拾遺	和歌	集
持ち来る	持ち	来る
持ち直す	持ち	直す
持ち込む	持つ	込む
持世菩薩	持世	菩薩
指サック	指	サック
指示形容詞	指示	形容詞
指貫	指	貫
指輪	指	輪
振り仮名	振り	仮名
振り漢字	振り	漢字
振替休日	振替	休日
振袖	振	袖
捌け口	捌け	口
捻り潰す	捻る	潰す
授ける	さ	付ける
掠め取る	掠め	とる
推定無罪	推定	無罪
掬い投げ	掬い	投げ
掬い網	掬い	網
掲示板	掲示	板
掴む	束	む
描く	絵	書く
提げ物	提げ	物
提灯お化け	提灯	お化け
提灯鮟鱇	提灯	鮟鱇
揚子江アリゲーター	揚子江	アリゲーター
揚子江河海豚	揚子江	河海豚
揚子江鰐	揚子江	鰐
揺り籠	揺	籠
損益分岐点	損益	分岐点
搾乳	搾	乳
搾乳機器	搾乳	機器
摩る	さ	擦る
撞木鮫	撞木	鮫
操縦士	操縦	士
操縦桿	操縦	桿
擒	取り	子
擦り傷	擦り	傷
擦る	こ	擦る
支那蕎麦	支那	蕎麦
支那薄色海豚	支那	薄色海豚
支那通	支那	通
支障をきたす	支障	を	きたす
改新	改	新
改札口	改札	口
攻撃犬	攻撃	犬
放射性降下物	放射性	降下	物
放射線量計	放射線量	計
放射能汚染	放射能	汚染
放物線	抛物	線
放電	放	電
政	祭り	事
政府効率化省	政府	効率化	省
政権交代	政権	交代
故に	ゆえ	に
救助犬	救助	犬
救護班	救護	班
教会ソナタ	教会	ソナタ
教科	教	科
教育界	教育	界
数珠掛鳩	数珠	掛	鳩
数秘術	数秘	術
文化史	文化	史
文化遺産	文化	遺産
文字化け	文字	化け
文学史	文学	史
文房四宝	文房	四	寶
文明開化	文明	開化
文書	文	書
文無し	文	無し
文語形	文語	形
斑入海豹	斑入り	海豹
料理屋	料理	屋
斜筋	斜	筋
斜辺	斜	辺
断ち切る	断つ	切る
断る	言	割る
断面積	断面	面積
断食	断	食
斯かる	斯く	ある
新し	新た	し
新しい生活様式	新しい	生活様式
新た	新	た
新世界猿	新世界	猿
新勅撰和歌集	新	勅撰和歌集
新古今和歌集	新	古今和歌集
新型	新	型
新型肺炎	新型	肺炎
新妻	新	妻
新婚旅行	新婚	旅行
新字体	新	字体
新居	新	居
新年	新	年
新幹線	新	幹線
新手	新	手
新撰万葉集	新撰	万葉集
新潟	新	潟
新潟県	新潟	県
新羅琴	新羅	琴
新興国	新興	国
新車	新	車
新選組	新選	組
新顔	新	顔
方位角	方位	角
方向音痴	方向	音痴
方言札	方言	札
旅に出る	旅	に	出る
旅立ち	旅	立ち
旅行証明書	旅行	証明書
旅行鳩	旅行	鳩
旅路	旅	路
旗艦	旗	艦
既婚	既	婚
既成事実	既成	事実
日の下	日	の	下
日の丸	日	の	丸
日を追う	日	を	追う
日中	日	中
日光浴	日光	浴
日勤教育	日勤	教育
日向	日	な	た
日向国	日向	の	国
日和	日	寄り
日射病	日射	病
日帰り	日	帰り
日持ち	日	持ち
日曜日	日曜	日
日本	日	本
日本井守	日本	井守
日本料理	日本	料理
日本標準時	日本	標準時
日本水仙	日本	水仙
日本薄荷	日本	薄荷
日本語能力試験	日本語	能力	試験
日本野兎	日本	野兎
日本銀行	日本	銀行
日本鹿	日本	鹿
日清戦争	日清	戦争
日照り	日	照り
日照り雨	日照り	雨
日立	日	立つ
日露戦争	日露	戦争
旧ソ連	旧	ソ連
旧世界猿	旧世界	猿
旧人	旧	人
旧制	旧	制
旧字体	旧	字体
旧居	旧	居
旧式	旧	式
旧態	旧	態
旨味	旨	み
早合点	早	合点
早寝早起き	早寝	早起き
早稲田	早稲	田
早起きは三文の徳	早起き	は	三	文	の	徳
早飲み込み	早	飲み込み
昆布締め	昆布	締め
昆布茶	昆布	茶
明け暮れる	明け	暮れる
明るい	明る	し
明太子	명태	子
明後日	明後	日
明明後日	し	明後日
明治の大合併	明治	大	合併
星明かり	星	明かり
星鮫	星	鮫
春日	春	日
春本	春	本
春祭り	春	祭り
春秋	春	秋
春菊	春	菊
春菜	春	菜
春闘	春	闘
春雨	春	雨
昨夜	夜	辺
昭和の大合併	しょうわ	大	合併
昭和元禄	昭和	元禄
是枝	これ	枝
昼ご飯	昼	御飯
昼メロ	昼	メロ
昼間	昼	間
昼飯	昼	飯
時	常	い
時代劇	時代	劇
時計草	時計	草
時間をつぶす	時間	を	潰す
時間切れ	時間	切れ
時間計算量	時間	計算量
普茶	普	茶
普賢菩薩	普	賢	菩薩
普通名詞	普通	名詞
暖簾に腕押し	暖簾	に	腕	押し
暗中模索	暗中	模索
暗闇	暗	闇
暮らしを立てる	暮らし	を	立てる
暮れ泥む	暮れ	泥む
暴言を吐く	暴言	を	吐く
曙	明け	仄
曙色	曙	色
曝け出す	曝け	出す
曲る	曲	る
曲線美	曲線	美
書き下し文	書き下し	文
書き起こし	書き	起こし
最上	最	上
最上級	最	上級
最下	最	下
最下位	最	下位
最初	最	初
最古	最	古
最善	最	善
最善を尽くす	最善	を	尽くす
最多	最	多
最大	最	大
最大公約数	最大	公	約数
最寄駅	最寄	駅
最小	最	小
最小公倍数	最小	公	倍数
最小公分母	最小	公	分母
最少	最	少
最恵国	最	恵	国
最悪	最	悪
最愛	最	愛
最新	最	新
最果て	最	果て
最終	最	終
最終戦	最終	戦
最近	最	近
最長	最	長
最高	最	高
最高経営責任者	最高	経営	責任者
月と鼈	月	と	鼈
月の船	月	の	船
月の輪熊	月の輪	の	熊
月夜	月	夜
月日	月	日
月曜日	月曜	日
月見	月	見
月見里	月見	里
有り得ない	有る	得ない
有り難し	有り	難し
有声	有	声
有声音	有声	音
有意義	有	意義
有明	あり	明け
有明月	有明	月
有給休暇	有給	休暇
有角神	有角	神
望むところ	望む	ところ
朝の会	朝	の	会
朝寝	朝	寝
朝寝坊	朝	寝坊
朝敵	朝	敵
朝日	朝	日
朝臣	朝	臣
朝飯	朝	飯
朝飯前	朝飯	前
朝鮮人参	朝鮮	人参
朝鮮戦争	朝鮮	戦争
朧	凡	ろ
朧月	朧	月
朧月夜	朧月	夜
木偶の坊	木偶	の	坊
木屋町	木屋	町
木履	木	履
木曜日	木曜	日
木漏れ日	木	漏れ	日
木炭画	木炭	画
木炭紙	木炭	紙
木炭自動車	木炭	自動車
木登カンガルー	木登り	カンガルー
木綿	木	綿
木肌	木	肌
木花開耶姫	木	の	花	咲く	や	姫
木菟	耳	付く
木陰	木	陰
未来	未	来
末っ子	末	子
末尾再帰	末尾	再帰
末尾呼び出し	末尾	呼び出し
末恐ろしい	末	恐ろしい
末梢神経系	末梢	神経系
本動詞	本	動詞
本土狸	本土	狸
本塁	本	塁
本塁打	本塁	打
本曲	本	曲
本真	本	真
本著	本	著
朱鷺	朱	鷺
朱鷺嘴鳧	朱鷺	嘴	鳧
李	酸	桃
杏仁豆腐	杏仁	豆腐
杜父魚	河	鹿
来る日	来る	日
来京	来	京
来月	来	月
来週	来	週
来阪	来	阪
東ドイツ	東	ドイツ
東ヨーロッパ	東	ヨーロッパ
東京	東	京
東京都	東京	都
東側諸国	東側	諸国
東北地方	東北	地方
東北弁	東北	弁
東南海地震	東南海	地震
東口	東	口
東日本大震災	東日本	大震災
東海地震	東海	地震
東風	東	風
松の皮	松	の	皮
松平	松	平
松脂	松	脂
松脂油	松脂	油
松葉崩し	松葉	崩し
枕営業	枕	営業
枕木	枕	木
枕詞	枕	詞
果てしない	果てし	ない
果樹園	果樹	園
果物	木	だ	物
果糖	果	糖
枝角羚羊	枝角	羚羊
枡記号	枡	記号
枢軸側	枢軸	側
枯れ尾花	枯れ	尾花
柱時計	柱	時計
柳	矢	な	木
柴犬	柴	犬
査収	査	収
柿原	柿	原
栃	木	万
栃木県	栃木	県
栃葉人参	栃	葉	人参
栄養不良	栄養	不良
栄養不足	栄養	不足
栄養失調	栄養	失調
栓抜き	栓	抜き
株主総会	株主	総会
株式会社	株式	会社
株札	カブ	札
核融合	核	融合
根も葉もない	根	も	葉	も	ない
根付	根	付け
根付き魚	根付き	魚
根刮ぎ	根	刮ぐ
根性を入れ換える	根性	を	入れ換える
根比べ	根	比べる
根絶やし	根	絶やし
根魚	根	魚
格好いい	格好	良い
格闘ゲーム	格闘	ゲーム
格闘技	格闘	技
桂	香	出
桂花茶	桂花	茶
桂馬	桂	馬
桃果	桃	果
桃花	桃	花
桐ヶ谷	桐	が	谷
桜	咲く	等
桜ん坊	桜	の	坊
桜チーズ	桜	チーズ
桜島	桜	島
桜月	桜	月
桜木	桜	木
桜田	桜	田
桜花	桜	花
桜餅	桜	餅
桶	麻	笥
梁	内	張り
梅干し	梅	干し
梓弓	梓	弓
棋院	棋	院
棒渦巻銀河	棒	渦巻銀河
棒高跳	棒	高跳び
棗椰子	棗	椰子
森林公園	森林	公園
森林火災	森林	火災
森羅万象	森羅	万象
植え付ける	植え	付ける
植え物	植え	物
植木	植え	木
植民地	植民	地
植物人間	植物	人間
植物状態	植物	状態
椎茸	椎	茸
椰子糖	椰子	糖
椰子蟹	椰子	蟹
楚割	楚	割り
楣	目	種
業を沸かす	業	を	沸かす
楯突く	楯	突く
楽天観	楽天	観
榊原	榊	原
榎	榎	の	木
榎茸	榎	茸
榴弾砲	榴弾	砲
構文論	構文	論
樋熊	樋	熊
標準入力	標準	入力
標準出力	標準	出力
権少納言	権	少納言
横幅	横	幅
横材	横	材
横波	横	波
横笛	横	笛
横筋ジャッカル	横	条	ジャッカル
横雨	横	雨
樹雨	樹	雨
橋詰	橋	詰め
橘	立ち	花
機体	機	体
機械翻訳	機械	翻訳
機種依存文字	機種	依存	文字
機関銃	機関	銃
檜	火	の	木
欄間	欄	間
次女	次	女
次子	次	子
次男	次	男
欲す	欲る	す
欲張る	欲	張る
歌ガルタ	歌	カルタ
歌姫	歌	姫
歌舞伎町	歌舞伎	町
止むに止まれぬ	止む	に	止まれぬ
止めを刺す	止め	を	刺す
正しい	直	し
正夢	正	夢
正常位	正常	位
正念場	正念	場
正規表現	正規	表現
武器術	武器	術
武士	物	の	ふ
武智	高	市
武漢ウイルス	武漢	ウイルス
武装親衛隊	武装	親衛隊
歩き巫女	歩き	巫女
歩子	歩	子
歩幅	歩	幅
歩数計	歩数	計
歯ブラシ	歯	ブラシ
歯医者	歯	医者
歯向かう	歯	向かう
歯擦音	歯	擦音
歯止め	歯	止め
歯止めがかかる	歯止め	が	かかる
歯痒い	歯	痒い
歯磨き粉	歯磨き	粉
歯齦炎	歯齦	炎
歴史的仮名遣い	歴史的	仮名遣い
死す	死	す
死する	死	する
死に神	死に	神
死の行進	死	の	行進
死亡届	死亡	届
死亡証明書	死亡	証明書
死人	死	人
死活問題	死活	問題
残念	残	念
残念だが当然	残念	だが	当然
残暑	残	暑
残欠	残	欠
段ボール	段	ボール
殺人スズメバチ	殺人	スズメバチ
殺生石	殺生	石
母ちゃん	母	ちゃん
母体	母	体
母型	母	型
毎月	毎	月
毒婦	毒	婦
毒虫	毒	虫
比例代表制	比例	代表	制
比国	比	国
比較文学	比較	文学
毘沙門天	毘沙門	天
毛深い	毛	深い
毛皮	毛	皮
毛綿鴨	毛	綿	鴨
毛虫	毛	虫
民主カンプチア	民主	カンプチア
民族統一主義	民族	統一	主義
気がある	気	が	ある
気が合う	気	が	合う
気が気でない	気	が	気	でない
気が違う	気	が	違う
気が遠くなる	気	が	遠く	なる
気に病む	気	に	病む
気付く	気	付く
気合を入れる	気合	を	入れる
気管支炎	気管支	炎
気違い沙汰	気違い	沙汰
気配	気	這い
気長	気	長
水たまり	水	溜まり
水の泡	水	の	泡
水も滴る	水	も	滴る
水仕事	水	仕事
水内	水	内
水司	水取り	の	司
水商売	水	商売
水干	水	干
水平思考	水平	思考
水底	水	底
水戸黄門	水戸	黄門
水曜日	水曜	日
水澄まし	水	澄まし
水無月	水	な	月
水球	水	球
水瓶座	水瓶	座
水疱瘡	水	疱瘡
水硫基	水	硫	基
水素	水	素
水素イオン指数	水素	イオン	指数
水素化リチウム	水素化	リチウム
水素爆弾	水素	爆弾
水蜘蛛	水	蜘蛛
水資源	水	資源
水質汚染	水質	汚染
水路橋	水路	橋
水車小屋	水車	小屋
水道	水	道
水道橋	水道	橋
水酸化リチウム	水酸化	リチウム
水銀	水	銀
水銀柱ミリメートル	水銀	柱	ミリメートル
水馬	水	馬
水鶏	食い	鳴く
水鹿	水	鹿
氷下魚	氷	下	魚
氷屋	氷	屋
氷河時代	氷河	時代
永久機関	永久	機関
永字八法	永字	八	法
永禄	永	禄
汎心論	汎	心	論
汎神論	汎	神	論
汗をかく	汗	を	掻く
汝	汝	貴
汝兄	汝	兄
汝妹	汝	の	妹
汝達	汝	達
江戸	江	戸
江戸っ子	江戸	子
決まり字	決まり	字
決定木	決定	木
汽船	汽	船
沖巨頭	沖	巨頭
沖縄県	沖縄	県
沖醤蝦	沖	醤蝦
河原	河	原
河原乞食	河原	乞食
河原者	河原	者
河原鳩	河原	鳩
河原鶸	河原	鶸
河川	河	川
河童	川	童
河鱒	河	鱒
治安判事	治安	判事
治部煮	じぶ	煮
沼	沼	間
沼間	沼	間
泉	出づ	水
法の皇	法	の	天皇
法律事務所	法律	事務所
泡を食う	泡	を	食う
波動関数	波動	関数
波布草	波布	草
波平	波	平
波束	波	束
波長	波	長
泣きじゃくる	泣き	噦る
泣きべそをかく	泣きべそ	を	かく
泣き虫	泣き	虫
泣き顔	泣き	顔
泥亀	泥	亀
泥塗れ	泥	塗れ
洋弓	洋	弓
洗濯ばさみ	洗濯	挟み
洗熊	洗い	熊
洗脳	洗	脳
洞井守	洞	井守
津波	津	波
津波警報	津波	警報
津軽	津	軽
活法	活	法
派手	映え	手
流れ星	流れ	星
浅茅生	浅茅	生
浜鯛	浜	鯛
浦島効果	浦島	効果
浮き彫り	浮く	彫る
浮き輪	浮き	輪
浮世絵	浮世	絵
浮子	浮き	子
浮巣鳥	浮巣	鳥
浮気女	浮気	女
海亀	海	亀
海原	海	な	原
海嘯	津	波
海月	海	月
海松	海	松
海水パンツ	海水	パンツ
海水浴場	海水	浴場
海水温	海水	温
海水魚	海水	魚
海洋汚染	海洋	汚染
海烏	海	烏
海狸	海	狸
海獺	海	獺
海石榴	海	石榴
海蛇	海	蛇
海豚	魚	食
海豹	痣	等	獣
海賊盤	海賊	盤
海賊船	海賊	船
海驢	海	鹿
海鼠	海	鼠
浸透圧	浸透	圧
消しゴム	消し	ゴム
消失点	消失	点
消波	消	波
消火栓	消火	栓
涙雨	涙	雨
淘汰	淘	汰
淡水	淡	水
淫具	淫	具
淫売婦	淫	売	婦
深呼吸	深	呼吸
深更	深	更
混交林	混交	林
混合林	混合	林
混合物	混合	物
清々しい	すがすが	しい
清廉潔白	清廉	潔白
清源	清	源
清老頭	清	老頭
済南事件	済南	事件
減るもんじゃない	減る	もん	じゃない
減刑	減	刑
渡りに船	渡り	に	船
渦巻く	渦	巻く
渦巻銀河	渦巻	銀河
渦虫	渦	虫
温室効果	温室	効果
温室効果ガス	温室効果	ガス
温暖前線	温暖	前線
港	水	な	門
渾名	あだ	名
湖	水	海
湯たんぽ	湯	湯婆
湯桶	湯	桶
湯桶読み	湯桶	読み
湿度計	湿度	計
満ち引き	満ち	引き
満を持す	満	を	持す
源	水	な	元, 本
源五郎鮒	源五郎	鮒
源氏	源	氏
源氏物語	源氏	物語
溝蕎麦	溝	蕎麦
溝鼠	溝	鼠
滄海桑田	滄海	桑田
滅多矢鱈	滅多	矢鱈
滅相もない	滅相	も	ない
滅金	滅	金
滋賀県	滋賀	県
滑舌	滑	舌
漕ぎ出づ	漕ぎ	出づ
漢和辞典	漢和	辞典
漢文訓読	漢文	訓読
漢音	漢	音
漫湖	漫	湖
漫画	漫	画
漫画字	漫画	字
漬物	漬	物
潜り込む	潜り	込む
潜伏期間	潜伏	期間
潜在意識	潜在	意識
潮吹き	潮	吹き
潮騒	潮	騒
澪	水	緒
火が降る	火	が	降る
火のないところに煙は立たない	火	の	ない	ところ	に	煙	は	立たない
火の鳥	火	の	鳥
火加減	火	加減
火口	火	口
火山島	火山	島
火曜日	火曜	日
火災警報	火災	警報
火花	火	花
火鉢	火	鉢
火食い鳥	火	食い	鳥
火鼠	火	鼠
灯	灯し	火
灯油	灯	油
灰塗れ	灰	塗れ
灰皿	灰	皿
灰色海豹	灰色	海豹
灰色熊	灰色	熊
灰色狐	灰色	狐
灰色野鶏	灰色	野鶏
炉心熔融	炉心	溶融
炎	火	の	穂
炎上マーケティング	炎上	マーケティング
炎上商法	炎上	商法
炙り物	炙り	物
炙肉	炙り	肉
炭化水素	炭化	水素
炭水化物	炭水	化物
炭火	炭	火
炭素	炭	素
為人	人	と	形#Japanese:_nari-shape
烏	から	す
烏帽子	烏	帽子
焚き付ける	焚き	付ける
無一文	無	一	文
無人島	無人	島
無作法	無	作法
無党派層	無党派	層
無制限	無	制限
無国籍	無	国籍
無垢	無	垢
無声	無	声
無意義	無	意義
無慙	無	慙
無我夢中	無我	夢中
無敵の人	無敵	の	人
無月	無	月
無条件	無	条件
無条件降伏	無条件	降伏
無水	無	水
無水物	無水	物
無理強い	無理	強い
無理心中	無理	心中
無理難題	無理	難題
無産階級	無産	階級
無花果果	無花果	果
無記名投票	無	記名	投票
無邪気	無	邪気
無限級数	無限	級数
無限連鎖講	無限	連鎖	講
無顆粒球症	無	顆粒球	症
無駄話	無駄	話
無駄遣い	無駄	遣い
焦げ付く	焦げる	付く
焦眉	焦	眉
焦眉の急	焦眉	の	急
焼き魚	焼き	魚
焼け跡	焼ける	跡
焼け跡の釘拾い	焼け跡	の	釘	拾い
焼け跡世代	焼け跡	世代
焼肉	焼き	肉
煉獄	煉	獄
煎茶	煎	茶
煙霧質	煙霧	質
照れ笑い	照れ	笑い
煮頃鮒	似る	源五郎鮒
熊の胆	熊	の	胆
熊手	熊	手
熊本県	熊本	県
